Company,HQ Location,Constellation,Sat Name,ID,Sensor Moda,Update,Pan,VNIR 400-1K nm,,,LWIR 8K-12K nm,Video,Multi-Sensor,1st Satellite Launch,Full Constellation Revisit Rate,Spectral Range (nm) VNIR,# of Planned,Spatial Resolution (m),Band Width (nm),Spectral Range,# of HSI Bands,X-Band,C-Band,S-Band,L-Band,TBD-Band,Band,Band Width (nm) SWIR,Band Width (nm) MWIR,Band Width (nm) LWIR,Spectral Range (nm) VNIR,,,,,,,,,
Hawkeye 360,US,Hawkeye,Hawk-3A,48957,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-3B,48931,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-3C,48948,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-4A,52167,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-4B,52165,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-4C,52170,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-A,43765,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-B,43794,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-C,43799,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Seahawk-1,43820,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawkeye,07325,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-5A,52757,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-5B,52756,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,Hawk-5C,52754,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Hawkeye 360,US,Hawkeye,HawkSat,35004,RF,3,0,0,0,0,0,,0,2021,< 60 minutes,,60,,,,,,,,,,,,,,,,,,RF,,,,,
Kleos Space SA,Luxemburg,Kleos Constellation,,,RF,4,0,0,0,0,0,,0,2020,TBD,,80,,,,,,,,,,,,,,,,,,AIS/ADS-B,,,,,
Spire Global,US,Lemur,,,RF,6,0,0,0,0,0,,0,2015,< 60 minutes,,175,,,,,,,,,,,,,,,,,,,,,,,
SatRevolution,Poland,STORK,,,EO,2,0,5m<x<=30m,0,0,0,,0,2021,TBD,,14,,,,,,,,,,,,,,,,,,,,,,,
Alba Orbital,United Kingdom,Unicorn-2 Nightlights,,,EO,Discovered,0,5m<x<=30m,0,0,0,,0,2021,< 60 minutes,,TBD,,,,,,,,,,,,,,,,,,,,,,,
Orora Tech,Germany,Orora Tech,,,EO,Discovered,0,0,0,0,0,0,0,2021,< 60 minutes,,100,,,,,,,,,,,,,,,,,,,,,,,
Satrec,South Korea,SpaceEye-T,,,EO,Discovered,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scanway,Poland,EagleEye,,,EO,Discovered,0,0.5m<=x<=1m,0,0,0,,0,2023,TBD,,1,,,,,,,,,,,,,,,,,,,,,,,
Virgin Orbit,US,Virgin Orbit Constellation,,,EO & SAR,Discovered,TBD,TBD,0,0,0,,1,2023,TBD,,TBD,,,,,,,,,TBD,,,,,,,,,,,,,,
Capella Space,US,Capella 36,Capella-5,48913,SAR,1,0,0,0,0,0,,0,2020,< 23 hours,,36,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Capella Space,US,Capella 36,Capella-6,48605,SAR,1,0,0,0,0,0,,0,2020,< 23 hours,,37,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Capella Space,US,Capella 36,Capella-7,51072,SAR,1,0,0,0,0,0,,0,2020,< 23 hours,,38,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Capella Space,US,Capella 36,Capella-8,51071,SAR,1,0,0,0,0,0,,0,2020,< 23 hours,,39,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Capella Space,US,Capella 36,Capella-2/Sequoia,46269,SAR,1,0,0,0,0,0,,0,2020,< 23 hours,,38,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Capella Space,US,Capella 36,Capella-4,47481,SAR,1,0,0,0,0,0,,0,2020,< 23 hours,,39,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Capella Space,US,Capella 36,Capella-3,47489,SAR,1,0,0,0,0,0,,0,2020,< 23 hours,,40,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Umbra,US,Umbra-SAR 2001,,,SAR,1,0,0,0,0,0,,0,2021,< 23 hours,,24,,,,,<0.5m,,,,,,,,,,,,,,,,,,
CETC,China,Tianxian,,,SAR,Discovered,0,0,0,0,0,,0,2022,TBD,,96,,,,,TBD,TBD,,,,,,,,,,,,,,,,,
ImageSat International (ISI),Israel,EROSAR,,,SAR,Discovered,0,0,0,0,0,,0,TBD,TBD,,2,,,,,,,,,TBD,,,,,,,,,,,,,,
PIESat,China,PIESat SAR,,,SAR,Discovered,0,0,0,0,0,,0,TBD,TBD,,4,,,,,,,,,TBD,,,,,,,,,,,,,,
Shaanxi Zhixing Space Technology,China,Zhixing,,,SAR,Discovered,0,0,0,0,0,,0,2020,< 23 hours,,12,,,,,TBD,,,,,,,,,,,,,RF,,,,,
Unseen Labs,France,Bro,,,RF,1,0,0,0,0,0,,0,2019,< 60 minutes,,25,,,,,,,,,,,,,,,,,,RF,,,,,
Ningzia,China,Jingui,,,RF,5,0,0,0,0,0,,0,2019,TBD,,30,,,,,,,,,,,,,,,,,,ADS-B,,,,,
Startical,Spain,Startical,,,RF,Discovered,0,0,0,0,0,,0,2022,TBD,,200,,,,,,,,,,,,,,,,,,,TBD,TBD,TBD,TBD,TBD
Astroscale,Japan,ADRAS-J,,,SSA,Discovered,0,0,0,0,0,,0,2023,TBD,,TBD,,,,,,,,,,,,,,,,,,,TBD,TBD,TBD,TBD,TBD
Digantara,India,Digantara,,,SSA,Discovered,0,0,0,0,0,,0,TBD,TBD,,TBD,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Technology Inc.,US,Pathfinder,,,EO,Operating Status Change,0,0.5m<=x<=1m,0,0,0,,0,2016,TBD,,1,,,,,,,,,,,,,,,,,,,,,,,
Hera Systems,US,1HOPSat TD,,,EO,Operating Status Change,0,0.5m<=x<=1m,0,0,0,0.5m<=x<=1m,0,TBD,< 60 minutes,,50,,,,,,,,,,,,,,,,,,,,,,,
Capella Space,US,Capella Denali,Capella-1/Denali,43791,SAR,Operating Status Change,0,0,0,0,0,,0,2018,TBD,,1,,,,,0.5m<=x<=1m,,,,,,,,,,,,,RF,,,,,
HawkEye 360,US,Pathfinder,M2 Pathfinder,45727,RF,Operating Status Change,0,0,0,0,0,,0,2018,TBD,,3,,,,,,,,,,,,,,,,,,,,,,,
HawkEye 360,US,Pathfinder,Pathfinder 1,41787,RF,Operating Status Change,0,0,0,0,0,,0,2018,TBD,,3,,,,,,,,,,,,,,,,,,,,,,,
HawkEye 360,US,Pathfinder,Calipso,29108,RF,Operating Status Change,0,0,0,0,0,,0,2018,TBD,,3,,,,,,,,,,,,,,,,,,,,,,,
HawkEye 360,US,Pathfinder,Altair Pathfinder,42711,RF,Operating Status Change,0,0,0,0,0,,0,2018,TBD,,3,,,,,,,,,,,,,,,,,,,,,,,
HawkEye 360,US,Pathfinder,Sirion Pathfinder-2,43759,RF,Operating Status Change,0,0,0,0,0,,0,2018,TBD,,3,,,,,,,,,,,,,,,,,,,,,,,
HawkEye 360,US,Pathfinder,Tropics Pathfinder,48901,RF,Operating Status Change,0,0,0,0,0,,0,2018,TBD,,3,,,,,,,,,,,,,,,,,,,,,,,
Orbital Effects (R2 Space),US,XR,,,SAR,,,,,,,,0,2021,< 23 hours,,8,,,,,<0.5m,,,,,,,,,,,,,,,,,,
EOS,US,EOS SAR,,,SAR,,,,,,,,0,2022,< 23 hours,,12,,,,,<0.5m,,<0.5m,,,,,,,,,,,,,,,,
XpressSAR,US,XpressSAR,,,SAR,,,,,,,,0,2023,< 23 hours,,4,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Airbus US,US,NeoSAR/HybridSAR,,,SAR,,,,,,,,0,2024,TBD,,2,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Airbus,France,HRWS-SAR,,,SAR,,,,,,,,0,2025,TBD,,4,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Trident Space,US,Trident Space,,,SAR,,,,,,,,0,TBD,< 60 minutes,,48,,,,,<0.5m,,,,,,,,,,,,,,,,,,
Airbus,France,Terra SAR-X NEO,,,SAR,,,,,,,,0,2025,TBD,,4,,,,,<0.5m,,,,TBD,,,,,,,,,,,,,,
Alpha Insights (Urthecast),Canada,SAR-XL,,,SAR,,,,,,,,1,2022,< 23 hours,,8,,,,,<0.5m,,,1m<x<=5m,,,,,,,,,,,,,,,
Zhuhai,China,Zhuhai OSS,,,SAR,,,,,,,,0,2020,TBD,,2,,,,,,,,,0.5m<=x<=1m,,,,,,,,,,,,,,
iQPS,Japan,QPS-SAR,,,SAR,,,,,,,,0,2019,< 60 minutes,,36,,,,,,,,,0.5m<=x<=1m,,,,,,,,,,,,,,
ST Engineering,Singapore,NeuSAR,,,SAR,,,,,,,,0,2022,< 23 hours,,6,,,,,,,,,0.5m<=x<=1m,,,,,,,,,,,,,,
ST Engineering,Singapore,TeLEOS 2,,,SAR,,,,,,,,0,2021,TBD,,1,,,,,,,,,0.5m<=x<=1m,4-115,30-80,1250,,,1195-1690,3700-4950,7500-13500,,,,,,
Chang Guang,China,Jilin-1 Spectrum,,,HSI,,,4-115,30-80,1250,6000,,0,2019,<6 days,450-1040,TBD,1m<x<=5m,,,25,,,,,,,,,6000,450-1040,,,,,,,,,
SI Imaging Services,South Korea,KOMPSAT Optical,,,EO,,<0.5m,0.5<=x<=1m,,1m<x<=5m,,,0,2006,<24 hours,,4,,,,,,,,,,,,,,,,,,,,,,,
Maxar (DigitalGlobe),US,Worldview,,,EO,,<0.5m,1m<x<=5m,1m<x<=5m,,,,0,2007,<24 hours,,4,,,,,,,,,,,,,,,,,,,,,,,
ImageSat,Israel,EROS,,,EO,,<0.5m,0.5m<=x<=1m,,,,,0,2006,<24 hours,,3,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-1,39418,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,21,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-2,40072,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,22,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-3,41601,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,23,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-4,41773,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,24,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-5,41774,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,25,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-6,41771,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,26,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-7,41772,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,27,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-8,42992,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,28,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-9,42991,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,29,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-10,42990,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,30,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-11,42989,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,31,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-12,42988,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,32,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-13,42987,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,33,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-14,43797,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,34,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-15,43802,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,35,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-16,45788,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,36,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-17,45790,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,37,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-18,45789,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,38,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-19,46179,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,39,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-20,46180,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,40,,,,,,,,,,,,,,,,,,,,,,,
Planet,US,SkySat,SkySat-21,46235,EO,,0.5m<=x<=1m,0.5m<=x<=1m,,,,0.5m<=x<=1m,0,2013,<23 hours,,41,,,,,,,,,,,,,,,,,,,,,,,
